Crop,clipped_PA_surf,total_surf
alfalfa,5565.0517578125,18049.291
almond,0.0,0.10782893
apple,234.25360107421875,758.2276
artichoke,0.5855631232261658,1.8362195
asparagus,8.036772727966309,20.095186
avocado,668.3432006835938,2183.2898
banana,4721.7080078125,21434.176
barley,16990.66015625,54317.77
bean,9910.5029296875,74919.56
beetfor,0.0,0.0
brazil,2.0335988998413086,5.3863106
broadbean,4293.876953125,13845.278
buckwheat,1.7053866386413574,4.860604
cabbagefor,0.023792356252670288,0.023792356
cabbage,198.41168212890625,645.714
carrotfor,0.0,0.0
carrot,1608.1678466796875,5251.5815
cashewapple,19.78891944885254,54.85454
cashew,0.07923169434070587,0.23636787
cassava,9884.7705078125,29924.736
castor,1.1860616207122803,2.2119489
cauliflower,43.44829559326172,137.0392
cerealnes,377.69659423828125,1232.5167
cherry,116.9852066040039,381.2057
chestnut,16381.2265625,53611.223
chickpea,190.8297576904297,305.6443
chilleetc,1228.4359130859375,4013.309
citrusnes,0.7890682816505432,1.9590747
clover,0.19780227541923523,1.2301112
cocoa,4138.798828125,10510.614
coconut,0.08733991533517838,1.895377
coffee,11915.2109375,26278.559
cotton,12535.703125,139906.38
cucumberetc,168.56040954589844,550.60034
fig,42.63477325439453,134.91959
fornes,103.31459045410156,150.10057
fruitnes,188.46435546875,587.4106
garlic,181.21023559570312,588.7013
grapefruitetc,152.3758544921875,487.0416
grape,871.5451049804688,3439.6443
grassnes,18548.396484375,66183.85
greenbean,177.5840301513672,319.5764
greenbroadbean,7704.54345703125,24184.39
greencorn,2158.77392578125,6938.5356
greenonion,0.18608814477920532,0.40503168
greenpea,5129.27734375,16674.766
groundnut,4965.64697265625,18705.69
hemp,0.30016008019447327,0.6458113
jutelikefiber,0.7075061202049255,1.6002034
legumenes,0.0,0.0
lemonlime,1370.5562744140625,4455.981
lentil,0.35650739073753357,0.6235583
lettuce,836.2946166992188,2736.409
linseed,9.225335121154785,85.99107
lupin,2.8617005348205566,7.4379706
maizefor,1.3998099565505981,6.223955
maize,87094.8125,428695.94
mango,621.5045166015625,2030.5975
mate,6.316396236419678,10.856415
melonetc,2.301285982131958,4.0950465
mixedgrass,13.362142562866211,36.87687
nutnes,0.17374414205551147,0.38825744
oats,4280.57275390625,13963.113
oilpalm,12.066055297851562,13.552945
olive,4.518299579620361,12.324652
onion,2258.273193359375,7343.1943
orange,6859.7783203125,22318.764
papaya,711.3577880859375,2325.3723
peachetc,2573.94775390625,8386.127
pear,118.47614288330078,382.63245
pea,1153.254638671875,3736.1685
pepper,3.531008005142212,40.60404
pimento,0.5552104711532593,1.3184159
pineapple,1545.1881103515625,5017.3525
plantain,8911.921875,41058.152
plum,131.99893188476562,429.8434
popcorn,0.0,0.0
potato,70011.484375,183082.42
pulsenes,0.3333969712257385,0.7409869
pumpkinetc,1109.727294921875,3535.2817
quince,9.6383638381958,28.519281
quinoa,32415.8125,107343.945
rapeseed,1.1313509941101074,6.010524
rice,31032.640625,177947.69
rootnes,5456.85791015625,17745.406
rubber,16.02554702758789,61.34025
ryefor,0.0,0.0
rye,107.19438934326172,348.99207
safflower,0.0,5.3236747
sesame,3041.459716796875,10029.591
sorghumfor,0.0,2.4420505
sorghum,63103.91015625,406212.62
soybean,266489.4375,1173253.6
spicenes,1275.4957275390625,2557.6262
spinach,0.31314513087272644,0.74084485
strawberry,169.47531127929688,540.7978
stringbean,2.32149076461792,5.6957717
sugarbeet,0.029664022848010063,0.267415
sugarcane,17814.703125,176675.27
sunflower,18189.43359375,129739.4
sweetpotato,258.38092041015625,1100.8905
tangetc,7396.3125,24159.807
tea,136.52728271484375,277.54205
tobacco,159.21356201171875,1232.9242
tomato,1612.460205078125,4867.4995
tropicalnes,7.1558613777160645,17.830587
tung,2.19822359085083,3.8387456
turnipfor,0.0,0.0
vegetablenes,1230.8204345703125,4006.6924
vegfor,93.86637115478516,368.9291
watermelon,1292.7099609375,4216.0107
wheat,52995.53515625,202301.83
yam,0.4504411518573761,4.929725
yautia,0.5477882027626038,0.9975106
