Crop,clipped_PA_surf,total_surf
almond,4.932548522949219,9.152004
avocado,0.1971370279788971,0.272159
bambara,36511.42578125,52130.832
banana,3949.260986328125,5828.788
barley,15.066941261291504,30.973942
bean,5048.30078125,8945.867
beetfor,0.0,0.0
cabbagefor,0.0,0.0
cabbage,1396.4508056640625,1762.051
carrotfor,0.0,0.0
carrot,287.03680419921875,361.9437
cashew,6305.2138671875,11286.34
cassava,5243.404296875,9092.087
cerealnes,105.05064392089844,332.5489
chickpea,0.014985392801463604,0.014985393
chilleetc,4291.3017578125,6984.8364
citrusnes,79.2773208618164,83.031136
cocoa,273.1738586425781,417.92822
coconut,0.3551012873649597,0.3551013
coffee,25.066875457763672,52.90735
cotton,40467.546875,169959.14
cowpea,111637.9140625,391070.06
date,86.90177154541016,150.72209
eggplant,963.7078857421875,1767.0614
fonio,28729.52734375,61292.215
fruitnes,129.3872833251953,212.62291
garlic,316.0430908203125,398.19775
grapefruitetc,0.0,6.1831574
greenbean,238.56398010253906,372.6328
greenbroadbean,0.273962140083313,0.32641166
greencorn,193.06153869628906,222.00475
greenonion,3255.647216796875,6021.781
groundnut,176009.8125,456398.5
jutelikefiber,1111.075927734375,1787.7668
karite,39122.3984375,63282.523
kolanut,42.00502014160156,72.83358
legumenes,0.0,0.0
lemonlime,156.0928497314453,587.74414
lettuce,1960.17431640625,2471.447
maizefor,0.0,0.0
maize,392659.65625,1148384.6
mango,22489.203125,35284.176
melonetc,764.7857666015625,802.91046
melonseed,2189.92333984375,3507.4968
millet,940324.875,2111015.8
nutnes,1170.41845703125,1883.514
oilpalm,0.6551854014396667,0.72664446
oilseedfor,0.0,0.0
oilseednes,0.902235209941864,1.4004562
okra,6487.55859375,12044.385
onion,2454.767333984375,3942.9407
orange,3273.797607421875,6236.537
papaya,374.7115478515625,681.5803
pea,388.89349365234375,574.87695
pepper,0.7998268008232117,0.99326336
pimento,2943.14453125,4729.1313
pineapple,40.41383361816406,43.38138
plantain,45.18727111816406,53.558643
popcorn,0.0,0.0
potato,2836.967529296875,9727.6455
pulsenes,627.596435546875,866.83276
rice,427835.0,879072.7
rootnes,0.5583862066268921,0.9576067
rubber,55.96954345703125,74.19629
sesame,13625.9912109375,40199.555
sisal,2.0933597087860107,2.1852403
sorghumfor,0.0,0.0
sorghum,639806.875,1802299.9
soybean,5649.40087890625,21880.402
spicenes,7.555805206298828,13.554626
sugarbeet,194.94332885742188,532.91235
sugarcane,2731.083740234375,4805.6343
sweetpotato,12008.8515625,39287.727
tangetc,214.9761199951172,776.728
taro,104.02915954589844,169.82915
tea,34.07310104370117,88.79057
tobacco,168.09690856933594,437.7969
tomato,7220.08837890625,11629.0
tropicalnes,16.685043334960938,19.87873
turnipfor,0.0,0.0
vegetablenes,23949.5859375,39236.68
vegfor,27021.951171875,60797.227
wheat,5696.58544921875,6908.753
yam,2930.545654296875,5446.0107
