Crop,clipped_PA_surf,total_surf
abaca,0.9975268840789795,1.5406854
avocado,1.8698627948760986,10.535656
bambara,0.0,0.27753487
banana,414.3492431640625,2154.2144
bean,3.3387091159820557,10.369735
cabbagefor,0.0,0.0
cabbage,0.17427745461463928,1.2154062
carrotfor,0.0,0.0
carrot,0.0937032699584961,0.6119095
cassava,8695.5517578125,57865.105
chilleetc,0.0,0.11309202
citrusnes,45.50200653076172,203.82314
cocoa,54.765541076660156,3987.2979
coconut,13.414873123168945,56.684914
coffee,32.42240905761719,303.75787
cotton,0.0,25.415308
cucumberetc,0.0,2.906201
eggplant,3.856407642364502,17.10668
fruitnes,1390.7113037109375,5255.839
grapefruitetc,0.6209015250205994,3.5846496
greenbean,1.0688409805297852,5.521575
groundnut,3834.91796875,21072.646
kolanut,0.0,2.7559981
legumenes,0.0,0.0
lemonlime,0.8722665905952454,5.060502
lettuce,0.012522905133664608,0.1377175
maizefor,0.0,0.0
maize,4620.23486328125,26486.086
mango,6.371279716491699,35.677666
melonetc,0.0,0.10974628
melonseed,17.60927963256836,96.93726
millet,0.0,1.5241082
oilpalm,714.2710571289062,5799.108
onion,0.0,0.18127349
orange,1.6461787223815918,9.402697
pea,16.183570861816406,86.94043
pimento,0.0,0.12002787
pineapple,23.03193473815918,97.98829
plantain,10066.32421875,51299.938
popcorn,0.0,0.0
potato,1.14342200756073,7.1388016
pulsenes,61.694297790527344,275.91284
pumpkinetc,0.0,2.7065763
rice,44.935306549072266,571.2863
rootnes,14.562657356262207,69.88821
rubber,2073.046630859375,7501.3594
sesame,1.4820365905761719,9.06943
sorghumfor,0.0,0.0
sorghum,0.0,11.298364
soybean,673.9892578125,4247.2134
sugarcane,702.4758911132812,4348.9673
sweetpotato,424.18572998046875,1953.1543
tangetc,1.3514453172683716,7.759058
taro,1868.83642578125,6832.1895
tea,0.0,0.9489012
tobacco,0.1957760453224182,1.6309808
tomato,5.780200004577637,30.783482
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,877.1279296875,3436.3848
vegfor,1436.641845703125,10076.591
watermelon,0.0,0.011727385
yam,6156.845703125,36532.062
