Crop,clipped_PA_surf,total_surf
alfalfa,1550.6484375,1980.4489
almond,0.8485041856765747,1.1264503
banana,1079.19970703125,1584.2968
barley,684.0103149414062,1178.8247
cabbagefor,0.0,0.0
cabbage,14.058167457580566,18.64447
carrotfor,0.0,0.0
carrot,0.7527412176132202,0.9876798
cauliflower,9.531209945678711,12.652781
cerealnes,480.049560546875,605.96924
chilleetc,3.1586382389068604,4.190876
citrusnes,6.57485818862915,8.729311
cucumberetc,10.790138244628906,14.313565
date,18895.962890625,23075.875
eggplant,10.97337532043457,14.5581665
fig,1.6484167575836182,2.1883585
fruitnes,68.32389831542969,86.478325
grape,0.45159006118774414,0.5990339
grassnes,60.08943557739258,79.65201
greenbean,2.4100732803344727,3.1996834
greenonion,23.49112319946289,31.191744
legumenes,0.0,0.0
lemonlime,1327.178466796875,1636.4502
lettuce,0.6899264454841614,0.9146007
maizefor,0.0,0.0
maize,11.778371810913086,636.10724
mango,1165.9080810546875,1440.7023
melonetc,10.710174560546875,13.954235
onion,325.2620849609375,413.66998
papaya,222.42044067382812,269.4732
popcorn,0.0,0.0
potato,423.56365966796875,567.93616
pumpkinetc,18.98674774169922,25.205242
sorghumfor,0.0,0.0
sorghum,2926.2197265625,3397.7625
spinach,4.800928592681885,6.3333573
sugarcane,101.11460876464844,126.1015
tobacco,140.68893432617188,246.08957
tomato,2532.462890625,3024.6472
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,1213.578369140625,1539.5947
vegfor,8185.8662109375,11450.548
watermelon,754.02587890625,932.95483
wheat,813.0095825195312,1048.2771
